control,state,death,death21,traffic_04,traffic_08,traffic_09,trafficpop_04,trafficpop_08,trafficpop_09,illicit_0204,binge_0405,binge17_0405,report_0304,reportbinge_0304
Heavy,Maine,5.20780746,0.227746682,0.36,0.3,0.307189542,5.314089245,3.570191484,3.5349243,0.151,0.2099,0.1159,0.2878,0.2049
Heavy,Montana,6.920634921,0.402116402,0.46,0.45,0.314085739,11.4364012,10.64665509,7.520462773,0.158,0.2847,0.1555,0.381,0.2898
Heavy,Pennsylvania,5.237664888,0.311132448,0.41,0.39,0.373737374,4.949101633,4.643212126,2.834167715,0.129,0.2467,0.1033,0.3077,0.2161
Moderate,Alabama,6.158692962,0.441483366,0.38,0.38,0.329457364,9.756782399,7.930246674,5.359464541,0.126,0.1911,0.1003,0.259,0.1716
Moderate,Idaho,5.383050711,0.344515246,0.36,0.4,0.266331658,6.674982882,6.103099062,3.409590212,0.138,0.2209,0.1052,0.2785,0.1994
Moderate,New Hampshire,4.486692015,0.182509506,0.35,0.38,0.278350515,4.540207772,4.027940225,2.051512725,0.178,0.2374,0.1171,0.373,0.2618
Moderate,North Carolina,5.647510444,0.352263746,0.35,0.35,0.27897351,6.474484152,5.421574004,3.566301352,0.134,0.2067,0.0898,0.2507,0.1588
Moderate,Ohio,5.07231225,0.273566823,0.38,0.35,0.308262712,4.293564253,3.613122513,2.524092506,0.144,0.2286,0.1063,0.2975,0.2089
Moderate,Oregon,6.203728722,0.237773575,0.44,0.38,0.314199396,5.536103462,4.195184245,2.730662186,0.18,0.207,0.1157,0.3086,0.2071
Moderate,Vermont,4.935897436,0.224358974,0.32,0.21,0.333333333,5.149711777,2.414409194,3.68107782,0.181,0.2363,0.1245,0.3335,0.2405
Moderate,Virginia,4.524401413,0.295695408,0.39,0.44,0.320863309,4.812444042,4.698105531,2.813547471,0.129,0.2244,0.0871,0.2914,0.2026
Moderate,Washington,5.340838024,0.23764853,0.44,0.43,0.408388521,3.965319253,3.435521521,2.774683963,0.17,0.2174,0.0944,0.3131,0.2149
Light,Iowa,4.515221271,0.243700099,0.28,0.27,0.271386431,3.723195951,3.763461452,3.033430381,0.115,0.2787,0.1295,0.356,0.2767
Light,Michigan,5.35172883,0.288748119,0.37,0.34,0.275434243,4.252112707,3.308867705,2.242063927,0.167,0.2459,0.1043,0.3017,0.2048
Light,Mississippi,6.855057896,0.509823401,0.38,0.38,0.334389857,11.74660675,10.1067917,7.131332099,0.108,0.1976,0.0872,0.2312,0.1567
Light,West Virginia,6.345869731,0.352548318,0.33,0.37,0.324074074,7.491651766,7.825985358,5.682510046,0.124,0.1867,0.1077,0.2709,0.2009
Light,Wyoming,6.712350132,0.434328538,0.36,0.47,0.362068966,11.6479017,14.08006488,7.501996067,0.139,0.2387,0.129,0.3283,0.2415
License,Alaska,7.462686567,0.507462687,0.31,0.38,0.288135593,4.72968334,3.497048637,2.432411163,0.198,0.218,0.0962,0.2629,0.1904
License,Arizona,6.639636717,0.395718456,0.38,0.35,0.276056338,7.573338645,5.0613983,3.089945475,0.164,0.2411,0.1154,0.2746,0.1964
License,Arkansas,5.763073639,0.426894344,0.39,0.34,0.286806883,10.02677804,7.179404565,5.178050726,0.14,0.1923,0.1023,0.2592,0.1797
License,California,5.406769433,0.298974162,0.4,0.35,0.300426136,4.577392323,3.259272753,2.288884929,0.169,0.2002,0.0999,0.263,0.1691
License,Colorado,5.937302756,0.311382285,0.39,0.37,0.338672769,5.628718024,4.155083343,2.976552609,0.191,0.2428,0.1263,0.3367,0.2085
License,Connecticut,4.308131241,0.194008559,0.44,0.4,0.428571429,3.62483888,2.909825894,2.52680732,0.152,0.2582,0.1205,0.3472,0.228
License,Delaware,5.205158265,0.304806565,0.38,0.4,0.396039604,6.141884764,5.612237886,4.485662701,0.149,0.206,0.0982,0.31,0.2021
License,Florida,6.577114428,0.302929795,0.38,0.35,0.29379485,7.02413457,5.67972877,3.73137449,0.148,0.2152,0.0926,0.2732,0.175
License,Georgia,5.106791969,0.337462623,0.32,0.33,0.263651877,5.946055347,5.048657078,3.211775763,0.152,0.1955,0.0843,0.242,0.1538
License,Hawaii,3.782101167,0.186770428,0.46,0.46,0.454545455,5.147128694,3.881390904,3.341459267,0.154,0.2166,0.0934,0.2675,0.1953
License,Illinois,4.593204489,0.328865337,0.45,0.42,0.335336538,4.750805317,3.363933502,2.180236306,0.137,0.2627,0.1041,0.3035,0.2165
License,Indiana,4.811529933,0.323091543,0.32,0.31,0.311708861,4.793534148,3.920466592,3.04985428,0.141,0.2199,0.108,0.2674,0.186
License,Kansas,5.00723589,0.347322721,0.32,0.41,0.405172414,5.410341502,5.602872668,4.977576196,0.126,0.2618,0.1398,0.3219,0.2411
License,Kentucky,5.725154541,0.356633381,0.32,0.27,0.247945205,7.428986845,5.293676048,4.192654562,0.156,0.2191,0.1124,0.3002,0.1971
License,Louisiana,6.674440299,0.583022388,0.46,0.44,0.358126722,9.167871703,9.159344481,5.788521273,0.14,0.2406,0.1048,0.2997,0.1869
License,Massachusetts,4.042255709,0.177101134,0.43,0.42,0.311688312,3.163716073,2.323803737,1.472931885,0.186,0.2615,0.1206,0.3451,0.2431
License,Minnesota,4.505515773,0.243855235,0.32,0.35,0.25606469,3.607165556,3.084058997,1.798832577,0.141,0.2742,0.1294,0.3257,0.2338
License,Missouri,5.798391237,0.403902105,0.4,0.38,0.339694656,7.802429284,6.157380272,4.47904812,0.159,0.2435,0.1284,0.332,0.2302
License,Nebraska,4.389140271,0.294117647,0.36,0.36,0.302439024,5.265525574,4.205374805,3.420344318,0.116,0.2717,0.1305,0.3398,0.2375
License,Nevada,6.538461538,0.320512821,0.39,0.37,0.278026906,6.510274455,4.653547253,2.309412906,0.165,0.225,0.106,0.2447,0.165
License,New Jersey,4.105444126,0.194842407,0.37,0.33,0.245901639,3.103848208,2.268889687,1.541869994,0.111,0.2135,0.1047,0.2808,0.1747
License,New Mexico,9.299232737,0.491048593,0.4,0.32,0.307210031,11.08607258,5.94651363,4.811464246,0.179,0.2127,0.1217,0.3126,0.2173
License,New York,4.015332021,0.204081633,0.39,0.33,0.272727273,3.052984414,2.09848008,1.507220206,0.154,0.23,0.1121,0.3199,0.2116
License,North Dakota,5.283018868,0.283018868,0.39,0.5,0.387931034,6.147870472,8.10624165,6.767242935,0.121,0.3152,0.1424,0.4268,0.3229
License,Oklahoma,6.102263202,0.379994412,0.36,0.37,0.330757342,7.889763543,7.522593175,5.756445336,0.135,0.2142,0.1183,0.3015,0.2152
